house_id,area_sqft,bedrooms,bathrooms,location_score,age_years,distance_city_km,lot_size_sqft,has_garage,has_pool,renovation_years_ago,house_price_inr
100001,1973,5,4,7.6,23,11.9,5220,1,0,0,40275084
100002,1560,3,3,6.3,13,15.8,3882,1,0,13,26812029
100003,2071,4,3,5.8,9,21.1,4488,0,0,9,29315677
100004,2640,5,3,7.7,12,7.9,3614,1,1,4,47712959
100005,1498,3,3,3.8,15,24,2663,0,0,15,17724566
100006,1498,3,1,7.4,9,13.3,2050,0,0,9,26448337
100007,2676,6,6,7.1,16,14.5,7215,1,0,16,44768109
100008,2149,2,1,5.9,19,17.4,2268,1,0,9,30291804
100009,1345,2,1,4.7,37,12.5,3977,0,0,32,16161989
100010,2003,4,3,1,31,18.4,5554,1,0,17,12273622
100011,1349,3,2,5.5,30,12.8,1955,0,0,28,17848557
100012,1347,3,3,6.7,9,11.7,2357,1,0,3,24384794
100013,1807,5,3,5.5,29,11.4,2842,1,0,8,26452988
100014,450,1,1,5.2,36,19.1,1016,0,0,20,3656205
100015,529,1,1,2.7,15,33.4,1506,1,0,9,2795719
100016,1285,3,3,1.3,9,35.5,3484,1,0,9,7526418
100017,992,4,3,4,28,25.8,1726,1,0,28,9787652
100018,1854,4,3,7.4,31,18.7,5104,1,0,16,32072147
100019,1060,3,2,6.3,20,10.6,2865,1,0,4,17185679
100020,732,1,1,3.6,34,21.5,1381,0,0,1,5060892
100021,2603,4,3,2.6,21,30.9,5191,0,0,3,20698496
100022,1503,4,4,8.8,11,5.8,4396,1,0,11,32225228
100023,1694,4,3,5.1,21,17.2,4464,0,0,0,25528230
100024,724,3,2,5.6,23,29.4,1980,1,0,2,8981606
100025,1296,2,2,7.7,20,12.5,4602,1,0,4,24649837
100026,1722,4,3,1,8,42.6,4009,0,0,8,9147446
100027,902,3,3,4.7,48,10,1980,1,0,1,8948973
100028,1894,5,3,2.7,64,23.1,5331,1,0,1,12201793
100029,1260,3,1,3.9,18,25.8,4023,1,0,8,12725267
100030,1460,3,2,4.4,19,22.4,2384,1,0,2,16775146
100031,1259,2,1,4.9,21,8,2366,1,0,3,16015907
100032,2854,7,5,7.1,20,12.3,3964,1,1,2,49090197
100033,1641,3,2,7.1,11,28.5,3619,1,0,9,24532466
100034,962,3,3,6,33,18.5,2437,1,0,1,14572835
100035,2185,4,3,7.3,33,16.7,3126,1,1,28,36179860
100036,856,1,1,4.1,19,18.8,2294,0,0,1,10049125
100037,1786,5,4,8.8,19,10.1,3086,1,1,19,35534342
100038,450,1,1,7.3,18,13,800,0,0,15,7998255
100039,787,3,2,2.2,32,35.1,2108,1,0,18,3793563
100040,1778,4,3,5.1,21,26.2,2889,1,0,2,22655265
100041,2130,3,2,2.3,18,30.5,2466,0,0,11,13523245
100042,1761,5,5,7.5,9,12.9,4308,1,0,9,32598361
100043,1575,3,2,9.7,35,1,3026,1,0,8,32984334
100044,1454,4,2,3.9,13,13,3953,1,0,8,14259713
100045,689,2,2,6.4,9,16.3,1722,1,0,2,10673815
100046,1182,1,1,5.8,29,22.8,1124,0,0,5,16825629
100047,1351,3,3,3.8,21,31.6,3768,0,0,2,13112113
100048,2337,7,6,6.9,65,9,7338,1,0,36,40733402
100049,1873,5,3,9.9,8,1,4908,1,0,8,45355110
100050,504,1,1,4.8,14,26.2,1333,1,0,0,5550208
100051,1861,5,2,5.2,29,14.5,3445,0,0,6,28934424
100052,1400,3,3,8.6,20,1,2400,1,1,10,29171512
100053,1210,3,2,4.4,23,18.8,2574,1,0,1,14032399
100054,2048,4,3,7.1,23,10.6,5226,1,0,11,34780122
100055,2320,5,3,2.2,6,36.3,5885,1,0,0,19505645
100056,2255,6,5,5.9,24,22.5,3918,1,0,5,30198660
100057,1105,2,3,2.8,31,22.2,1853,0,0,10,9856250
100058,1449,4,3,3.7,12,32.3,1602,1,0,5,17035215
100059,1865,4,2,4.1,12,23.5,4454,0,0,5,22301856
100060,2284,4,4,7.1,16,20.1,4034,1,0,16,40604367
100061,1339,4,2,7.1,9,21.7,2436,1,0,4,22988622
100062,1529,3,1,6.4,11,14.2,4643,0,0,11,24140544
100063,931,3,3,1.6,22,33.6,2196,1,0,19,5099421
100064,872,2,1,3.5,41,22.1,1913,1,0,2,6065410
100065,2178,5,4,5.9,15,22.9,5441,0,0,0,36556801
100066,2532,6,4,6.4,51,16.3,7222,1,0,17,38904371
100067,1603,4,3,1.2,14,37.2,1650,1,0,8,9438762
100068,2302,4,4,8.7,33,18,3823,1,0,18,42398838
100069,1885,3,2,5.2,13,22.7,3507,1,0,2,28086039
100070,1231,3,2,3.6,26,23.6,1739,1,0,18,11943834
100071,1885,4,3,6,47,16.5,3470,1,0,1,25683316
100072,2650,5,5,2.1,29,11,2834,1,0,21,20248566
100073,1627,3,2,3.1,19,21.4,4154,0,0,17,14871613
100074,2667,5,3,5.6,18,23.8,4506,0,0,8,34113486
100075,450,1,2,5.6,26,24,954,1,0,9,5463440
100076,2184,5,3,8.3,31,5.7,4435,1,0,4,45825043
100077,1707,3,3,2,33,30,3985,1,0,2,10720305
100078,1456,2,1,8.5,22,8.4,800,1,0,6,28889145
100079,1710,4,5,5.3,25,23.2,3882,1,0,11,25309569
100080,450,1,1,4,12,36.3,826,0,0,12,3259950
100081,1507,5,3,5.6,27,22.5,3382,1,0,17,20716601
100082,1882,3,2,8.9,13,4.3,2432,1,1,6,39973292
100083,2611,7,6,4.5,23,21,5870,0,0,14,29865355
100084,1313,4,2,6.6,17,23.6,3649,0,1,1,20490893
100085,1124,2,3,3,44,17.5,2376,1,0,5,8498248
100086,1324,3,3,4.9,22,16.6,2078,1,0,6,17694470
100087,2245,5,4,7.8,47,15.9,3583,0,0,47,39521535
100088,1864,4,2,4.6,20,29,4372,1,0,5,23344063
100089,1306,4,3,6.9,51,18,3058,1,0,1,21472564
